日期,收盘,开盘,高,低,交易量,涨跌幅
2020年8月2日,11066.80 ,11802.60 ,12061.10 ,10730.70 ,647.95K,-6.24%
2020年8月1日,11803.10 ,11333.20 ,11847.70 ,11226.10 ,611.47K,4.14%
2020年7月31日,11333.40 ,11096.50 ,11434.80 ,10964.60 ,530.95K,2.14%
2020年7月30日,11096.20 ,11105.80 ,11164.40 ,10861.60 ,501.14K,-0.09%
2020年7月29日,11105.90 ,10908.40 ,11336.50 ,10771.80 ,576.83K,1.81%
2020年7月28日,10908.50 ,10961.10 ,11046.10 ,10873.60 ,658.37K,-1.04%
2020年7月27日,11022.80 ,9932.70 ,11367.00 ,9894.60 ,908.99K,10.98%
2020年7月26日,9932.50 ,9690.00 ,10086.60 ,9645.90 ,415.07K,2.35%
2020年7月25日,9704.10 ,9546.70 ,9729.30 ,9536.20 ,306.29K,1.65%
2020年7月24日,9546.40 ,9599.20 ,9626.20 ,9480.50 ,359.16K,-0.55%
2020年7月23日,9599.60 ,9513.60 ,9646.50 ,9451.10 ,425.66K,0.90%
2020年7月22日,9513.70 ,9387.40 ,9523.10 ,9296.00 ,386.00K,1.35%
2020年7月21日,9387.30 ,9162.30 ,9426.90 ,9155.10 ,458.99K,2.46%
2020年7月20日,9162.40 ,9208.10 ,9218.40 ,9139.90 ,312.98K,-0.50%
2020年7月19日,9208.00 ,9170.10 ,9224.80 ,9106.40 ,265.25K,0.41%
2020年7月18日,9170.20 ,9155.80 ,9198.80 ,9126.70 ,276.40K,0.16%
2020年7月17日,9155.80 ,9135.40 ,9181.90 ,9091.50 ,310.92K,0.22%
2020年7月16日,9135.30 ,9198.70 ,9224.20 ,9052.00 ,429.04K,-0.69%
2020年7月15日,9198.70 ,9253.60 ,9270.20 ,9168.70 ,429.84K,-0.59%
2020年7月14日,9253.40 ,9243.10 ,9274.80 ,9135.70 ,453.83K,0.11%
2020年7月13日,9243.60 ,9300.50 ,9329.60 ,9207.60 ,456.87K,-0.62%
2020年7月12日,9300.80 ,9234.20 ,9337.80 ,9170.40 ,366.88K,0.73%
2020年7月11日,9233.30 ,9285.80 ,9295.50 ,9184.20 ,353.92K,-0.56%
2020年7月10日,9285.10 ,9239.00 ,9309.80 ,9131.90 ,418.47K,0.53%
2020年7月9日,9235.70 ,9430.10 ,9434.50 ,9176.00 ,444.27K,-2.06%
2020年7月8日,9429.90 ,9256.30 ,9458.30 ,9233.10 ,509.94K,1.88%
2020年7月7日,9256.00 ,9338.80 ,9371.20 ,9209.30 ,420.55K,-0.89%
2020年7月6日,9339.00 ,9080.40 ,9363.00 ,9063.20 ,510.27K,2.84%
2020年7月5日,9081.00 ,9134.30 ,9149.60 ,8932.10 ,314.10K,-0.58%
2020年7月4日,9134.40 ,9067.10 ,9182.30 ,9049.60 ,261.25K,0.74%
2020年7月3日,9067.10 ,9085.00 ,9120.40 ,9050.90 ,333.88K,-0.20%
2020年7月2日,9085.10 ,9229.90 ,9259.70 ,8962.10 ,483.10K,-1.57%
2020年7月1日,9229.90 ,9135.90 ,9289.00 ,9101.10 ,366.78K,1.03%
2020年6月30日,9135.40 ,9186.00 ,9199.80 ,9075.30 ,381.73K,-0.54%
2020年6月29日,9185.40 ,9122.80 ,9229.10 ,9033.60 ,401.12K,0.67%
2020年6月28日,9124.00 ,9008.40 ,9185.50 ,8950.20 ,329.01K,1.28%
2020年6月27日,9008.30 ,9160.50 ,9190.50 ,8865.30 ,441.93K,-1.66%
