日期,开盘,收盘,高,低,涨跌幅
2015年8月20日,226,234.7,238,225.5,0.0383
2015年8月21日,234.7,232.4,236.3,230.5,-0.0096
2015年8月22日,232.4,229.5,235.1,221,-0.0123
2015年8月23日,229.5,226.8,232.7,224.3,-0.0122
2015年8月24日,226.8,211.4,228.4,207.8,-0.0676
2015年8月25日,211.4,220.5,226.6,196.3,0.0429
2015年8月26日,220.5,225,230.7,218.8,0.0202
2015年8月27日,225,222.7,228.4,222,-0.01
2015年8月28日,222.7,231.6,234.8,219.6,0.04
2015年8月29日,231.6,228.5,233.1,226.4,-0.0136
2015年8月2日,280.5,281.4,282.5,275.9,0.0032
2015年8月30日,228.5,228.4,232.3,225.4,-0.0004
2015年8月31日,228.4,229.5,231.8,224.2,0.0047
2015年8月3日,281.4,281.6,285,278.9,0.0008
2015年8月4日,281.6,284.3,285.7,279.6,0.0097
2015年8月5日,284.3,281.7,285.5,280.5,-0.0091
2015年8月6日,281.7,278,282,276.5,-0.0132
2015年8月7日,278,277.9,279.6,274.3,-0.0004
2015年8月8日,277.9,258.6,278.9,257.4,-0.0694
2015年8月9日,258.6,263.9,266.8,258.6,0.0204
2015年9月10日,237.4,238.1,240.6,234.3,0.0028
2015年9月11日,238.1,239.9,241,237.4,0.0076
2015年9月12日,239.9,235.6,240.3,233.3,-0.0179
2015年9月13日,235.6,230.2,236.2,228.3,-0.023
2015年9月14日,230.2,229.9,232.6,226,-0.0012
2015年9月15日,229.9,229.5,242.8,228,-0.0017
2015年9月16日,229.5,228.6,230.9,225.1,-0.0041
2015年9月17日,228.6,232.7,235.2,227.9,0.018
2015年9月18日,232.7,232.2,234.7,230.6,-0.0022
2015年9月19日,232.2,231.1,233.4,230.2,-0.0047
2015年9月1日,229.5,227.2,231.4,225.8,-0.01
2015年9月20日,231.1,231.1,232.7,229.9,0
2015年9月21日,231.1,226.3,231.6,225,-0.0206
2015年9月22日,226.3,230,233.2,224.1,0.0163
2015年9月23日,230,229.9,232.2,228.5,-0.0005
2015年9月24日,229.9,233.8,235.8,229.6,0.0168
2015年9月25日,233.8,235,237.6,232.7,0.0054
2015年9月26日,235,234.3,235.7,232.7,-0.0031
2015年9月27日,234.3,232.5,234.8,231.8,-0.0077
2015年9月28日,232.5,238.9,240.4,232.4,0.0274
2015年9月29日,238.9,236.7,240.4,234.8,-0.009
2015年9月2日,227.2,228.6,230.6,225.6,0.0064
2015年9月30日,236.7,235.9,237.8,234.4,-0.0033
2015年9月3日,228.6,226.2,229.6,225.4,-0.0106
2015年9月4日,226.2,230.3,231.1,225.8,0.0179
2015年9月5日,230.3,233.7,235.6,228.3,0.0149
2015年9月6日,233.7,239.9,243.6,234.7,0.0265
2015年9月7日,239.9,239.6,242.7,237.5,-0.0012
